head_node,tail_node,neglog_pval,abs_effect
ukb-b-13500,ebi-a-GCST004425,-0.0,0.0
ukb-b-13500,ebi-a-GCST004612,0.1005301591354903,0.287047710731887
ukb-b-13500,ebi-a-GCST005847,2.761384254564036,0.476440473556757
ukb-b-13500,ebi-a-GCST006061,7.010113276427348,2.00108889604569
ukb-b-13500,ieu-a-1094,79.57240893578768,2.00704060527659
ukb-b-13500,ieu-a-834,-0.0,0.0
ukb-b-13500,met-a-498,0.3010299956639812,0.0504262276895459
ukb-b-13500,met-a-727,-0.0,0.0
ukb-b-13500,prot-a-1034,-0.0,0.0
ukb-b-13500,prot-a-1160,-0.0,0.0
ukb-b-13500,prot-a-1185,0.3010299956639812,0.113459012301478
ukb-b-13500,prot-a-1247,-0.0,0.0
ukb-b-13500,prot-a-1424,-0.0,0.0
ukb-b-13500,prot-a-1602,-0.0,0.0
ukb-b-13500,prot-a-1678,0.3010299956639812,0.597214099195203
ukb-b-13500,prot-a-1742,-0.0,0.0
ukb-b-13500,prot-a-1767,0.3010299956639812,0.869852427644667
ukb-b-13500,prot-a-1777,-0.0,0.0
ukb-b-13500,prot-a-1789,0.3010299956639812,0.0252131138447729
ukb-b-13500,prot-a-208,-0.0,0.0
ukb-b-13500,prot-a-2104,-0.0,0.0
ukb-b-13500,prot-a-2121,-0.0,0.0
ukb-b-13500,prot-a-2140,0.3010299956639812,0.252131138447729
ukb-b-13500,prot-a-2149,0.3010299956639812,1.31798973615493
ukb-b-13500,prot-a-2189,-0.0,0.0
ukb-b-13500,prot-a-226,-0.0,0.0
ukb-b-13500,prot-a-2380,-0.0,0.0
ukb-b-13500,prot-a-244,0.3010299956639812,0.831618395398906
ukb-b-13500,prot-a-2564,-0.0,0.0
ukb-b-13500,prot-a-2581,-0.0,0.0
ukb-b-13500,prot-a-2603,-0.0,0.0
ukb-b-13500,prot-a-2611,0.3010299956639812,0.491655719973072
ukb-b-13500,prot-a-2664,-0.0,0.0
ukb-b-13500,prot-a-269,-0.0,0.0
ukb-b-13500,prot-a-2724,-0.0,0.0
ukb-b-13500,prot-a-2761,0.3010299956639812,0.0126065569223865
ukb-b-13500,prot-a-2766,-0.0,0.0
ukb-b-13500,prot-a-2851,0.3010299956639812,1.58403503885506
ukb-b-13500,prot-a-2972,-0.0,0.0
ukb-b-13500,prot-a-372,0.3010299956639812,0.995917996868531
ukb-b-13500,prot-a-54,-0.0,0.0
ukb-b-13500,prot-a-583,-0.0,0.0
ukb-b-13500,prot-a-777,-0.0,0.0
ukb-b-13500,prot-a-898,-0.0,0.0
ukb-b-13500,prot-a-923,0.3010299956639812,0.592508175352164
ukb-b-13500,ubm-a-1002,23.891935939944677,0.459511938948904
ukb-b-13500,ubm-a-1040,0.3010299956639812,0.201704910758184
ukb-b-13500,ubm-a-107,1.538276647791132,0.551339009822424
ukb-b-13500,ubm-a-1086,0.3010299956639812,0.123561537764525
ukb-b-13500,ubm-a-1104,-0.0,0.0
ukb-b-13500,ubm-a-1182,-0.0,0.0
ukb-b-13500,ubm-a-1331,0.7878513104262558,0.245722542298557
ukb-b-13500,ubm-a-1455,-0.0,0.0
ukb-b-13500,ubm-a-1568,0.8032053923087399,0.618595834725633
ukb-b-13500,ubm-a-18,-0.0,0.0
ukb-b-13500,ubm-a-1848,0.3010299956639812,0.630327846119324
ukb-b-13500,ubm-a-1865,0.0250327095631849,0.0562704012993217
ukb-b-13500,ubm-a-193,0.3010299956639812,0.926711533233935
ukb-b-13500,ubm-a-2090,0.3010299956639812,0.0378196707671594
ukb-b-13500,ubm-a-2220,-0.0,0.0
ukb-b-13500,ubm-a-2239,4.721492641646695,0.632398922731296
ukb-b-13500,ubm-a-2255,0.3010299956639812,1.15324101913556
ukb-b-13500,ubm-a-2266,0.3010299956639812,1.15205714203424
ukb-b-13500,ubm-a-2305,10.13879621262499,0.245525351206092
ukb-b-13500,ubm-a-2359,-0.0,0.0
ukb-b-13500,ubm-a-2504,0.3010299956639812,1.14842540316992
ukb-b-13500,ubm-a-2551,3.805134855747821,0.282269443834766
ukb-b-13500,ubm-a-2579,0.3571321109300564,0.360563887251209
ukb-b-13500,ubm-a-2688,-0.0,0.0
ukb-b-13500,ubm-a-2837,-0.0,0.0
ukb-b-13500,ubm-a-2869,-0.0,0.0
ukb-b-13500,ubm-a-36,-0.0,0.0
ukb-b-13500,ubm-a-362,19.845682770656204,0.758174068731838
ukb-b-13500,ubm-a-440,-0.0,0.0
ukb-b-13500,ubm-a-482,-0.0,0.0
ukb-b-13500,ubm-a-689,0.3740695690013904,0.196151188990623
ukb-b-13500,ubm-a-728,0.3010299956639812,0.330007299761471
ukb-b-13500,ubm-a-756,-0.0,0.0
ukb-b-13500,ubm-a-861,-0.0,0.0
ukb-b-13500,ubm-a-892,-0.0,0.0
ukb-b-13500,ubm-a-983,0.3010299956639812,0.55873643226203
ukb-b-13500,ukb-a-203,0.3010299956639812,0.815058027981514
ukb-b-13500,ukb-a-230,-0.0,0.0
ukb-b-13500,ukb-a-235,-0.0,0.0
ukb-b-13500,ukb-a-515,0.3010299956639812,0.858582165756053
ukb-b-13500,ukb-a-542,0.3010299956639812,0.0780669862008628
ukb-b-13500,ukb-b-10559,2.1546421823240527,0.265711599567348
ukb-b-13500,ukb-b-12205,0.2015428568681964,0.10074026526849
ukb-b-13500,ukb-b-13480,0.8842430505989127,0.0207037455366681
ukb-b-13500,ukb-b-13912,0.7231432339687843,0.0111396214551551
ukb-b-13500,ukb-b-14322,0.9357322945321024,0.0446461784174794
