head_node,tail_node,neglog_pval,abs_effect
prot-a-3215,ebi-a-GCST006699,0.5793424434818354,0.0083112668447458
prot-a-3215,ebi-a-GCST006804,0.0283718536852943,0.0008380422328122
prot-a-3215,ebi-a-GCST006862,0.3010299956639812,0.0161776564051639
prot-a-3215,ieu-a-49,0.3010299956639812,0.054617676266137
prot-a-3215,met-a-400,0.3010299956639812,0.0049652432969215
prot-a-3215,met-a-542,0.3010299956639812,0.111717974180735
prot-a-3215,met-a-652,0.3010299956639812,0.0233366434955313
prot-a-3215,met-a-716,0.3010299956639812,0.0124131082423039
prot-a-3215,met-b-227,0.3010299956639812,0.198086395233366
prot-a-3215,met-b-249,-0.0,0.0
prot-a-3215,prot-a-1808,3.125503990032987,0.168014280456594
prot-a-3215,prot-a-1838,1.8359130076917631,0.124648163936524
prot-a-3215,prot-a-1909,4.121491226967462,0.275825183824097
prot-a-3215,prot-a-1950,0.0275938285709088,0.0042779055724559
prot-a-3215,prot-a-1997,0.407151102851759,0.0265975122412228
prot-a-3215,prot-a-2060,0.4412038745170915,0.0613889740117089
prot-a-3215,prot-a-216,2.3546869488682955,0.16214293105481
prot-a-3215,prot-a-2287,0.0466549359682545,0.0086063966526311
prot-a-3215,prot-a-242,0.4214135610897822,0.0592532698064988
prot-a-3215,prot-a-2455,0.3023605361409881,0.045554682899162
prot-a-3215,prot-a-2592,0.7340623561088601,0.0864447691483995
prot-a-3215,prot-a-2604,1.7455788798951586,0.145571270883398
prot-a-3215,prot-a-2636,4.817294921057925,0.303363017931712
prot-a-3215,prot-a-2670,1.3464137982952784,0.135971143383613
prot-a-3215,prot-a-2781,0.6491544400759313,0.0700692600174274
prot-a-3215,prot-a-282,1.4537215357666369,0.142926853034252
prot-a-3215,prot-a-3066,4.338089149542217,0.138935470810453
prot-a-3215,prot-a-3163,0.7783129191604647,0.0933915404330577
prot-a-3215,prot-a-3188,1.4870315899430029,0.145248663104398
prot-a-3215,prot-a-418,0.2524110503562184,0.0324170859011558
prot-a-3215,prot-a-48,4.051935070341021,0.173296940251513
prot-a-3215,prot-a-515,0.3781015782176161,0.0544272554208887
prot-a-3215,prot-a-532,9.508151504276997,0.226003339324183
prot-a-3215,prot-a-540,0.4845849651115029,0.0486899614254042
prot-a-3215,prot-a-738,4.88827077319235,0.194701611739585
prot-a-3215,prot-a-787,0.6693123517703345,0.0838276211881408
prot-a-3215,prot-a-790,0.0582771149469283,0.0065786512990476
prot-a-3215,prot-a-917,0.6349981090247047,0.0806572716532548
prot-a-3215,prot-b-18,0.3010299956639812,0.341641598624839
prot-a-3215,ubm-a-1074,0.1595577753012063,0.0106583509061267
prot-a-3215,ubm-a-1139,0.3021844456739499,0.0282897913089032
prot-a-3215,ubm-a-116,2.5790557403474,0.0714418158247948
prot-a-3215,ubm-a-1189,0.5658211776184421,0.0344409655724729
prot-a-3215,ubm-a-1422,0.6551691625396202,0.0503886104801738
prot-a-3215,ubm-a-154,0.2196974159730517,0.0126186716484051
prot-a-3215,ubm-a-1567,0.9894460874819732,0.0590963149603691
prot-a-3215,ubm-a-1604,0.0033210978763448,0.0002481977216925
prot-a-3215,ubm-a-1651,0.0913413668314687,0.0074839782995729
prot-a-3215,ubm-a-1827,0.3988368197168859,0.0344008597644123
prot-a-3215,ubm-a-189,0.3714515155349944,0.0333507503546319
prot-a-3215,ubm-a-2030,0.5490233928951811,0.0339066278618645
prot-a-3215,ubm-a-2055,0.5928529913507306,0.047168729168801
prot-a-3215,ubm-a-208,1.7145650441900795,0.0539355866950514
prot-a-3215,ubm-a-2113,1.3454199084204888,0.0841101069177814
prot-a-3215,ubm-a-2223,0.02338938169391,0.0021572791372513
prot-a-3215,ubm-a-2256,1.2801615929183057,0.0669652522193801
prot-a-3215,ubm-a-230,0.8069783558740605,0.0393936129606731
prot-a-3215,ubm-a-2364,6.728932207401674,0.113865387563897
prot-a-3215,ubm-a-2427,0.4803376889790839,0.0402913193566619
prot-a-3215,ubm-a-2432,0.0505831134693598,0.005774283847667
prot-a-3215,ubm-a-2491,0.9453478535785508,0.0661824582376727
prot-a-3215,ubm-a-2592,0.5277523381261245,0.0378609897975874
prot-a-3215,ubm-a-2675,0.5250797870313288,0.0282644965331859
prot-a-3215,ubm-a-2690,1.0394137294053207,0.0359884963652456
prot-a-3215,ubm-a-2757,1.316241473800743,0.058225237802867
prot-a-3215,ubm-a-279,0.3594153365255107,0.0178684901571496
prot-a-3215,ubm-a-2790,1.0843619934409516,0.0661575065845036
prot-a-3215,ubm-a-2872,1.1086655559764194,0.0478609008769397
prot-a-3215,ubm-a-2900,3.281706931807062,0.0348837019362418
prot-a-3215,ubm-a-3034,0.8377020647197813,0.0369130215443764
prot-a-3215,ubm-a-3095,0.0870679534236436,0.0045627641933667
prot-a-3215,ubm-a-3126,0.1483139546194593,0.0139513272608198
prot-a-3215,ubm-a-399,0.0353261818970796,0.002349462062484
prot-a-3215,ubm-a-51,0.8961850732367271,0.0548701270337793
prot-a-3215,ubm-a-731,0.6112545554576507,0.0382165173103006
prot-a-3215,ubm-a-790,0.4145955063808954,0.0356665587740444
prot-a-3215,ubm-a-886,0.0680153747473269,0.0071383847137134
prot-a-3215,ukb-a-208,0.8637588346523662,0.0018808925356113
prot-a-3215,ukb-a-257,0.8805422458433277,0.0044255468722996
prot-a-3215,ukb-a-259,0.229955966360286,0.0019612799205213
prot-a-3215,ukb-a-3,0.426192758644567,0.0059844567647927
prot-a-3215,ukb-a-352,0.4464812919795091,0.0115771346588844
