head_node,relation,tail_node
ukb-b-2535,rg_greaterthan_0.5,ukb-a-172
ukb-b-2535,rg_greaterthan_0.5,ukb-d-1538_1
ukb-b-2535,rg_greaterthan_0.5,ukb-b-6244
ukb-b-2535,rg_greaterthan_0.5,ukb-a-20
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XVIII_MISCFINDINGS
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XI_DIGESTIVE
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XIX_INJURY_POISON
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XIV_GENITOURINARY
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XIII_MUSCULOSKELET
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-IX_CIRCULATORY
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-VI_NERVOUS
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-G6_EPIPAROX
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-M13_LOWBACKPAIN
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-ICDMAIN_ANY_ENTRY
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-M13_DORSALGIA
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-582
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-581
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-551
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-N39
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-569
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18596
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-472
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-680_3
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-545
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11461
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11605
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-15869
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-483
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-477
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-12930
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-433
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-1867
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-476
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-16254
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-20214
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-407
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-14080
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-9667
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-7289
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-475
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-2830
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-372
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-17729
